id,victim_id,victim_guild_id,victim_level,attacker_id,attacker_guild_id,attacker_level,zone_id,killed_at,killmail_raw_id
"305,32,"""","""",128,3,"""",25,""2018-07-30 00:14:27+02"",305"
"306,26,"""","""",128,3,"""",25,""2018-07-30 00:13:27+02"",306"
"307,199,15,"""",27,"""","""",10,""2018-07-30 00:10:22+02"",307"
"308,200,"""","""",27,"""","""",10,""2018-07-30 00:10:09+02"",308"
"309,32,"""","""",128,3,"""",25,""2018-07-30 00:09:45+02"",309"
"310,182,6,"""",201,"""","""",6,""2018-07-29 23:53:52+02"",310"
"311,82,1,"""",85,2,"""",22,""2018-07-29 23:47:52+02"",311"
"312,81,1,"""",85,2,"""",22,""2018-07-29 23:47:26+02"",312"
"313,182,6,"""",201,"""","""",28,""2018-07-29 23:44:37+02"",313"
"314,126,2,"""",130,1,"""",13,""2018-07-29 23:38:08+02"",314"
"315,76,2,"""",95,3,"""",9,""2018-07-29 23:35:22+02"",315"
"316,182,6,"""",152,"""","""",28,""2018-07-29 23:34:08+02"",316"
"317,202,2,"""",95,3,"""",9,""2018-07-29 23:33:17+02"",317"
"318,25,6,"""",203,"""","""",6,""2018-07-29 23:23:05+02"",318"
"319,25,6,"""",203,"""","""",6,""2018-07-29 23:22:08+02"",319"
"320,25,6,"""",203,"""","""",6,""2018-07-29 23:21:02+02"",320"
"321,25,6,"""",203,"""","""",6,""2018-07-29 23:20:05+02"",321"
"322,25,6,"""",203,"""","""",6,""2018-07-29 23:18:35+02"",322"
"323,155,5,"""",110,1,"""",15,""2018-07-29 23:18:33+02"",323"
"324,155,5,"""",109,"""","""",1,""2018-07-29 23:14:36+02"",324"
"325,204,"""","""",109,"""","""",1,""2018-07-29 23:00:40+02"",325"
"326,126,2,"""",130,1,"""",13,""2018-07-29 23:00:06+02"",326"
"327,155,5,"""",109,"""","""",1,""2018-07-29 22:56:42+02"",327"
"328,205,5,"""",109,"""","""",1,""2018-07-29 22:54:20+02"",328"
"329,206,"""","""",207,"""","""",35,""2018-07-29 22:50:01+02"",329"
