KB,D,HK,DD,HD
2,1,19,26670,120000
0,5,12,5332,225000
2,2,42,214000,33147
3,3,24,34426,2802
3,3,18,58874,29732
1,4,19,33188,42355
7,4,36,69535,4134
4,5,18,60889,21554
1,8,17,33717,1863
14,2,45,92862,9878
3,2,43,47029,24575
2,6,16,6920,72906
4,4,42,97230,23473
9,1,41,54439,9108
1,8,13,38732,14942
0,2,18,854,46905
5,0,45,77695,29075
5,1,46,59585,10493
0,1,42,3569,31105
0,3,39,0,56190
4,7,15,37121,8251
2,4,14,27238,13950
4,2,43,39846,11276
1,4,10,14547,7167
2,1,9,19175,11495
1,0,28,32778,16829
1,3,11,9731,25164
0,2,11,0,27090
5,0,30,22297,6474
0,0,29,4351,29830
6,3,27,21183,5864
4,2,22,34860,5997
2,6,7,12566,3388
0,3,10,8487,4184
0,3,9,231,18752
0,1,28,3344,22031
1,2,9,25034,2712
0,3,25,18449,1208
4,2,28,18103,3524
4,2,11,18293,5895
1,6,5,18722,3017
2,0,30,24230,4600
9,0,27,29834,1206
0,3,8,7371,1094
0,3,8,627,33250
1,3,11,7047,1574
0,1,6,10312,4178
2,2,9,15921,5745
2,0,22,16695,22637
3,0,22,15795,1885
1,0,22,2259,23537
2,1,21,24101,6103
2,3,19,12530,1544
1,1,22,9411,15502
2,1,10,11506,2010
0,2,8,11,44107
1,1,21,31688,3559
1,3,8,25819,4506
0,4,9,550,21572
2,3,8,22348,8949
0,1,9,2344,1212
2,2,9,20121,5539
5,0,22,51111,1815
4,1,17,13033,2667
0,1,3,10996,2777
0,0,29,2655,50557
1,3,3,16115,8601
0,1,21,3084,16988
2,0,32,25122,20017
0,4,4,758,69932
0,6,3,17776,4451
0,4,2,24289,7469
1,4,2,26889,2441
2,0,26,14930,0
0,2,4,16146,10727
3,0,26,23179,10309
0,2,4,532,18877
1,2,4,19423,3462
8,0,31,40339,3033
2,1,25,38413,4034
2,1,23,7834,7995
1,3,4,13804,4858
5,1,25,41502,15860
7,0,28,27138,4993
0,7,17,25707,8513
6,2,23,52817,6649
0,3,42,28290,3489
9,2,44,67718,29004
0,5,17,16550,2846
5,1,45,25108,2475
8,2,41,39582,32892
0,6,18,18019,19339
3,0,43,31192,11082
1,6,42,6339,59138
4,3,22,22585,8329
0,4,18,200,49004
6,4,21,74614,3830
10,1,45,65592,42314
4,2,38,46117,34324
0,8,13,43728,222
4,4,37,38664,15802
1,2,14,17248,7764
8,5,21,75974,18398
1,4,44,24701,10861
5,0,45,97774,9828
9,2,43,101000,7752
9,0,43,46814,7998
2,3,38,20282,23129
0,2,14,23622,15360
1,5,13,13080,91131
1,3,41,33715,4679
5,5,39,62260,12390
2,5,15,76711,17624
2,3,33,10932,106000
0,3,18,42584,11807
1,5,13,34785,6793
1,1,44,5553,166000
6,0,45,86061,9634
3,5,14,61492,38798
6,5,13,85944,9637
0,4,12,20109,92959
4,9,14,71378,7362
6,1,43,51626,10665
1,3,15,35339,7279
0,1,17,22143,3281
1,0,3,7494,3247
2,2,18,38970,7722
2,1,17,17714,1851
1,3,12,8477,44467
6,2,17,36622,3478
2,3,14,25597,4139
0,0,19,6337,56269
2,2,19,18235,6863
0,1,17,13306,974
4,2,16,10912,8847
3,3,15,45563,18001
2,3,11,50249,7529
0,1,11,418,18912
6,3,16,62836,16103
2,4,14,32945,7101
3,3,20,27658,9190
2,3,11,30239,8984
1,2,17,26684,13666
0,2,18,1698,46505
0,0,16,4830,55789
0,4,5,21946,2036
1,1,16,23722,7194
0,3,14,25126,304
3,3,16,47351,5682
5,4,17,41586,7895
4,5,15,72716,33793
6,1,18,63642,5939
1,3,16,3506,34528
1,0,20,3621,51821
2,3,15,8895,3802
2,0,17,29710,1346
3,2,13,37836,12401
2,3,16,43180,6972
4,1,14,56188,8653
0,1,18,9967,101000
5,1,16,34760,9172
2,0,19,23447,10391
2,2,16,23480,8633
0,6,5,25204,12891
2,3,35,47816,3734
2,4,11,61727,7806
7,3,44,63438,12212
3,2,44,29177,13799
1,5,12,58505,13698
0,1,9,28690,3583
0,3,3,31933,553
1,0,48,4115,112000
0,6,14,13297,75994
9,3,34,49790,13549
9,0,44,57203,11294
6,1,44,49709,8170
4,1,47,53810,18656
0,2,10,1832,27101
7,2,41,68436,6207
4,6,13,62293,32154
0,8,12,28793,8016
6,5,13,30749,7144
0,0,39,11367,73497
1,7,13,41640,8967
1,4,8,13921,87910
3,0,28,50860,7164
0,1,21,15657,2153
0,3,23,0,52110
4,0,29,61922,4291
1,1,19,6425,29085
1,2,8,14917,3476
0,5,5,3842,62007
2,3,20,18830,3017
0,4,7,36793,19860
6,1,28,50888,9844
6,0,19,29894,4117
0,2,6,15570,4170
2,3,9,32772,1879
4,0,26,61077,24808
0,0,0,5001,733
6,0,26,61517,9761
2,5,8,15955,2241
7,4,20,4700,1538
2,2,20,16909,3091
1,4,23,9736,281
0,2,25,27529,15028
0,3,15,18951,6043
0,2,24,23575,14533
3,7,20,28060,3540
3,2,22,19528,3417
1,0,22,6670,59085
2,2,21,1810,45132
0,3,23,7340,43717
9,5,24,47707,1239
5,3,26,27884,2194
9,1,28,42848,6232
1,2,22,25296,18631
9,5,23,41415,2000
3,4,22,25214,7651
1,3,26,6652,60447
